amfi_code,scheme_name,1Y_CAGR,3Y_CAGR,5Y_CAGR,sharpe_ratio,alpha,beta,max_drawdown_pct,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,dd_rank,score
118635.0,Nippon India ETF Nifty 50 BeES,91.82,24.25,13.91,-0.13,0.1516,-0.0138,-11.65,0.89,23.0,20.5,23.0,13.0,10.0,40.882694541231125
118633.0,Nippon India Large Cap Fund - Direct - Growth,94.14,24.75,14.19,-0.13,0.155,0.0132,-18.63,0.72,22.0,20.5,22.0,5.5,26.0,40.76655052264809
120503.0,ICICI Pru Bluechip Fund - Regular - Growth,113.27,28.72,16.36,-0.13,0.1759,-0.0041,-13.9,1.42,17.0,20.5,18.0,20.0,14.0,34.6109175377468
148568.0,Mirae Asset Emerging Bluechip Fund - Regular - Growth,144.36,34.69,19.57,-0.13,0.2079,0.0001,-15.27,1.52,14.0,20.5,14.0,26.5,19.0,33.56562137049942
101206.0,ABSL Frontline Equity Fund - Regular - Growth,153.46,36.34,20.44,-0.13,0.2139,0.0338,-11.29,1.6,12.0,20.5,12.0,36.5,9.0,31.242740998838563
125497.0,HDFC Top 100 Fund - Direct Plan - Growth,115.12,29.09,16.56,-0.13,0.1789,-0.0055,-15.2,0.92,16.0,20.5,16.0,14.0,18.0,29.036004645760734
149323.0,DSP Midcap Fund - Regular - Growth,212.72,46.23,25.61,-0.13,0.2658,0.0035,-17.25,1.61,8.0,20.5,8.0,38.0,22.0,29.036004645760734
118632.0,Nippon India Large Cap Fund - Regular - Growth,158.1,37.17,20.88,-0.13,0.2173,0.0364,-17.41,1.51,11.0,20.5,11.0,24.5,23.0,27.06155632984902
119551.0,SBI Bluechip Fund - Regular Plan - Growth,174.56,40.03,22.38,-0.13,0.2322,-0.056,-15.01,1.54,10.0,20.5,10.0,30.5,17.0,26.13240418118466
119094.0,Axis Midcap Fund - Regular - Growth,198.46,43.98,24.45,-0.13,0.26,-0.0599,-20.96,1.38,9.0,20.5,9.0,17.0,28.0,19.512195121951226
148569.0,Mirae Asset Tax Saver Fund - Regular - Growth,238.66,50.17,27.63,-0.13,0.2835,-0.0102,-16.4,1.6,4.0,20.5,4.0,36.5,21.0,18.234610917537744
120504.0,ICICI Pru Bluechip Fund - Direct - Growth,151.27,35.95,20.23,-0.13,0.2121,0.017,-12.59,0.8,13.0,20.5,13.0,12.0,12.0,17.886178861788615
119552.0,SBI Bluechip Fund - Direct Plan - Growth,135.77,33.1,18.71,-0.13,0.1983,-0.0199,-11.8,0.66,15.0,20.5,15.0,4.0,11.0,16.492450638792096
149324.0,DSP Small Cap Fund - Regular - Growth,242.49,50.74,27.92,-0.13,0.2982,0.1326,-31.17,1.52,3.0,20.5,2.0,26.5,37.0,15.44715447154472
100033.0,HDFC Mid-Cap Opportunities Fund - Regular - Growth,218.51,47.13,26.07,-0.13,0.2723,-0.0112,-16.22,1.38,7.0,20.5,6.0,17.0,20.0,10.220673635307788
119598.0,SBI Small Cap Fund - Regular Plan - Growth,244.04,50.96,28.03,-0.13,0.3011,0.0743,-28.71,1.43,2.0,20.5,1.0,21.0,36.0,8.82694541231126
120843.0,Kotak Flexicap Fund - Regular - Growth,227.05,48.44,26.74,-0.13,0.2728,-0.0087,-12.97,1.45,6.0,20.5,5.0,22.0,13.0,8.130081300813009
148567.0,Mirae Asset Large Cap Fund - Regular - Growth,227.78,48.55,26.8,-0.13,0.2712,-0.0281,-11.27,1.46,5.0,20.5,7.0,23.0,8.0,6.968641114982579
120505.0,ICICI Pru Midcap Fund - Regular - Growth,248.68,51.64,28.38,-0.13,0.293,-0.0174,-18.19,1.36,1.0,20.5,3.0,15.0,25.0,0.0
